frame,total_detections,per_class
351,2,"{'tie': 1, 'person': 1}"
352,2,"{'tie': 1, 'person': 1}"
353,2,"{'tie': 1, 'person': 1}"
354,2,"{'tie': 1, 'person': 1}"
355,2,"{'tie': 1, 'person': 1}"
356,2,"{'tie': 1, 'person': 1}"
357,2,"{'person': 1, 'tie': 1}"
358,2,"{'person': 1, 'tie': 1}"
359,2,"{'tie': 1, 'person': 1}"
360,2,"{'tie': 1, 'person': 1}"
361,2,"{'person': 1, 'tie': 1}"
362,2,"{'tie': 1, 'person': 1}"
363,2,"{'tie': 1, 'person': 1}"
364,2,"{'tie': 1, 'person': 1}"
365,2,"{'tie': 1, 'person': 1}"
366,2,"{'tie': 1, 'person': 1}"
367,2,"{'tie': 1, 'person': 1}"
368,2,"{'tie': 1, 'person': 1}"
369,2,"{'tie': 1, 'person': 1}"
370,2,"{'tie': 1, 'person': 1}"
371,2,"{'tie': 1, 'person': 1}"
372,2,"{'tie': 1, 'person': 1}"
373,2,"{'tie': 1, 'person': 1}"
374,2,"{'tie': 1, 'person': 1}"
375,2,"{'tie': 1, 'person': 1}"
376,2,"{'tie': 1, 'person': 1}"
377,2,"{'tie': 1, 'person': 1}"
378,2,"{'tie': 1, 'person': 1}"
379,2,"{'tie': 1, 'person': 1}"
380,2,"{'tie': 1, 'person': 1}"
381,2,"{'tie': 1, 'person': 1}"
382,2,"{'tie': 1, 'person': 1}"
383,2,"{'tie': 1, 'person': 1}"
384,2,"{'tie': 1, 'person': 1}"
385,2,"{'tie': 1, 'person': 1}"
386,2,"{'tie': 1, 'person': 1}"
387,2,"{'tie': 1, 'person': 1}"
388,2,"{'tie': 1, 'person': 1}"
389,2,"{'tie': 1, 'person': 1}"
390,2,"{'tie': 1, 'person': 1}"
391,2,"{'tie': 1, 'person': 1}"
392,2,"{'tie': 1, 'person': 1}"
393,2,"{'tie': 1, 'person': 1}"
394,2,"{'tie': 1, 'person': 1}"
395,2,"{'tie': 1, 'person': 1}"
396,2,"{'tie': 1, 'person': 1}"
397,2,"{'tie': 1, 'person': 1}"
398,2,"{'tie': 1, 'person': 1}"
399,2,"{'tie': 1, 'person': 1}"
400,2,"{'tie': 1, 'person': 1}"
401,2,"{'tie': 1, 'person': 1}"
402,2,"{'tie': 1, 'person': 1}"
403,2,"{'tie': 1, 'person': 1}"
404,2,"{'tie': 1, 'person': 1}"
405,2,"{'tie': 1, 'person': 1}"
406,2,"{'tie': 1, 'person': 1}"
407,2,"{'tie': 1, 'person': 1}"
408,2,"{'tie': 1, 'person': 1}"
409,2,"{'tie': 1, 'person': 1}"
410,2,"{'tie': 1, 'person': 1}"
411,2,"{'tie': 1, 'person': 1}"
412,2,"{'tie': 1, 'person': 1}"
413,2,"{'tie': 1, 'person': 1}"
414,2,"{'tie': 1, 'person': 1}"
415,2,"{'tie': 1, 'person': 1}"
416,2,"{'tie': 1, 'person': 1}"
417,2,"{'tie': 1, 'person': 1}"
418,2,"{'tie': 1, 'person': 1}"
419,2,"{'tie': 1, 'person': 1}"
420,2,"{'tie': 1, 'person': 1}"
421,2,"{'tie': 1, 'person': 1}"
422,2,"{'tie': 1, 'person': 1}"
423,2,"{'tie': 1, 'person': 1}"
424,2,"{'tie': 1, 'person': 1}"
425,2,"{'tie': 1, 'person': 1}"
426,2,"{'tie': 1, 'person': 1}"
427,2,"{'tie': 1, 'person': 1}"
428,2,"{'tie': 1, 'person': 1}"
429,2,"{'tie': 1, 'person': 1}"
430,2,"{'tie': 1, 'person': 1}"
431,2,"{'tie': 1, 'person': 1}"
432,2,"{'tie': 1, 'person': 1}"
433,2,"{'tie': 1, 'person': 1}"
434,2,"{'tie': 1, 'person': 1}"
435,2,"{'person': 1, 'tie': 1}"
436,2,"{'tie': 1, 'person': 1}"
437,2,"{'tie': 1, 'person': 1}"
438,2,"{'tie': 1, 'person': 1}"
439,2,"{'tie': 1, 'person': 1}"
440,2,"{'tie': 1, 'person': 1}"
441,2,"{'tie': 1, 'person': 1}"
442,2,"{'tie': 1, 'person': 1}"
443,2,"{'tie': 1, 'person': 1}"
444,2,"{'tie': 1, 'person': 1}"
445,2,"{'tie': 1, 'person': 1}"
446,2,"{'tie': 1, 'person': 1}"
447,2,"{'tie': 1, 'person': 1}"
448,2,"{'tie': 1, 'person': 1}"
449,2,"{'tie': 1, 'person': 1}"
450,2,"{'tie': 1, 'person': 1}"
451,2,"{'tie': 1, 'person': 1}"
452,2,"{'tie': 1, 'person': 1}"
453,2,"{'tie': 1, 'person': 1}"
454,2,"{'tie': 1, 'person': 1}"
455,2,"{'tie': 1, 'person': 1}"
456,2,"{'tie': 1, 'person': 1}"
457,2,"{'tie': 1, 'person': 1}"
458,2,"{'tie': 1, 'person': 1}"
459,2,"{'tie': 1, 'person': 1}"
460,2,"{'person': 1, 'tie': 1}"
461,2,"{'tie': 1, 'person': 1}"
462,2,"{'tie': 1, 'person': 1}"
463,2,"{'person': 1, 'tie': 1}"
464,2,"{'tie': 1, 'person': 1}"
465,2,"{'person': 1, 'tie': 1}"
466,2,"{'tie': 1, 'person': 1}"
467,2,"{'tie': 1, 'person': 1}"
468,2,"{'tie': 1, 'person': 1}"
469,2,"{'person': 1, 'tie': 1}"
470,2,"{'tie': 1, 'person': 1}"
471,2,"{'tie': 1, 'person': 1}"
472,2,"{'tie': 1, 'person': 1}"
473,2,"{'tie': 1, 'person': 1}"
474,2,"{'tie': 1, 'person': 1}"
475,2,"{'tie': 1, 'person': 1}"
476,2,"{'tie': 1, 'person': 1}"
477,2,"{'tie': 1, 'person': 1}"
478,2,"{'tie': 1, 'person': 1}"
479,2,"{'tie': 1, 'person': 1}"
480,2,"{'tie': 1, 'person': 1}"
481,2,"{'tie': 1, 'person': 1}"
482,2,"{'tie': 1, 'person': 1}"
483,2,"{'tie': 1, 'person': 1}"
484,2,"{'tie': 1, 'person': 1}"
485,2,"{'tie': 1, 'person': 1}"
486,2,"{'tie': 1, 'person': 1}"
487,2,"{'tie': 1, 'person': 1}"
488,2,"{'tie': 1, 'person': 1}"
489,2,"{'tie': 1, 'person': 1}"
490,2,"{'tie': 1, 'person': 1}"
491,2,"{'tie': 1, 'person': 1}"
492,2,"{'tie': 1, 'person': 1}"
493,2,"{'tie': 1, 'person': 1}"
494,2,"{'tie': 1, 'person': 1}"
495,2,"{'tie': 1, 'person': 1}"
496,2,"{'tie': 1, 'person': 1}"
497,2,"{'tie': 1, 'person': 1}"
498,2,"{'tie': 1, 'person': 1}"
499,2,"{'tie': 1, 'person': 1}"
500,2,"{'tie': 1, 'person': 1}"
501,2,"{'tie': 1, 'person': 1}"
502,2,"{'tie': 1, 'person': 1}"
503,2,"{'tie': 1, 'person': 1}"
504,2,"{'tie': 1, 'person': 1}"
505,2,"{'tie': 1, 'person': 1}"
506,2,"{'tie': 1, 'person': 1}"
507,2,"{'tie': 1, 'person': 1}"
508,2,"{'tie': 1, 'person': 1}"
509,2,"{'tie': 1, 'person': 1}"
510,2,"{'tie': 1, 'person': 1}"
511,2,"{'tie': 1, 'person': 1}"
512,2,"{'tie': 1, 'person': 1}"
513,2,"{'tie': 1, 'person': 1}"
514,2,"{'tie': 1, 'person': 1}"
515,2,"{'tie': 1, 'person': 1}"
516,2,"{'tie': 1, 'person': 1}"
517,2,"{'tie': 1, 'person': 1}"
518,2,"{'tie': 1, 'person': 1}"
519,2,"{'tie': 1, 'person': 1}"
520,2,"{'tie': 1, 'person': 1}"
521,2,"{'tie': 1, 'person': 1}"
522,2,"{'tie': 1, 'person': 1}"
523,2,"{'tie': 1, 'person': 1}"
524,2,"{'tie': 1, 'person': 1}"
525,2,"{'tie': 1, 'person': 1}"
526,2,"{'tie': 1, 'person': 1}"
527,2,"{'tie': 1, 'person': 1}"
528,2,"{'tie': 1, 'person': 1}"
529,2,"{'tie': 1, 'person': 1}"
530,2,"{'tie': 1, 'person': 1}"
531,2,"{'tie': 1, 'person': 1}"
532,2,"{'tie': 1, 'person': 1}"
533,2,"{'tie': 1, 'person': 1}"
534,2,"{'tie': 1, 'person': 1}"
535,2,"{'tie': 1, 'person': 1}"
536,2,"{'tie': 1, 'person': 1}"
537,2,"{'tie': 1, 'person': 1}"
538,2,"{'tie': 1, 'person': 1}"
539,2,"{'tie': 1, 'person': 1}"
540,2,"{'tie': 1, 'person': 1}"
541,2,"{'tie': 1, 'person': 1}"
542,2,"{'tie': 1, 'person': 1}"
543,2,"{'tie': 1, 'person': 1}"
544,2,"{'tie': 1, 'person': 1}"
545,2,"{'tie': 1, 'person': 1}"
546,2,"{'tie': 1, 'person': 1}"
547,2,"{'tie': 1, 'person': 1}"
548,2,"{'tie': 1, 'person': 1}"
549,2,"{'tie': 1, 'person': 1}"
550,2,"{'tie': 1, 'person': 1}"
551,2,"{'tie': 1, 'person': 1}"
552,2,"{'tie': 1, 'person': 1}"
553,2,"{'tie': 1, 'person': 1}"
554,2,"{'tie': 1, 'person': 1}"
555,2,"{'tie': 1, 'person': 1}"
556,2,"{'tie': 1, 'person': 1}"
557,2,"{'tie': 1, 'person': 1}"
558,2,"{'tie': 1, 'person': 1}"
559,2,"{'tie': 1, 'person': 1}"
560,2,"{'tie': 1, 'person': 1}"
